KEY,LAT,LON,STATUS,BUSINESS_NAME,LOCATION,DESCRIPTION
DT06,49.28308404,-123.1226606,open,Van Dog,South Side of 900 Robson St - 12 Metres East of Burrard St,Hot Dogs
GM04,49.2823144,-123.1180668,open,Van Dog,South Side of 600 W Georgia St - 6 Metres East of Granville St,Western
GM11,49.27974551,-123.1221196,open,Van Dog,East Side of 900 Granville St - 75 Metres South of Smithe St,Hot Dogs
DT61,49.28691603,-123.1167225,open,Vera's,South Side of 900 W Hastings St - 10 metres East of Burrard St,Western
C1,49.28690264,-123.1175335,open,Vie Niapolotan,Authorised Parking Meter - West Side of 400 Burrard St,Italian Cuisine
C24,49.28549373,-123.1225413,open,Vij's Railway Express,Authorised Parking Meter North Side of 1000 W Georgia St,Indian Cuisine
DT31,49.28452212,-123.1151752,open,Wakwak Burgers,West Side of 500 Granville St - 10 Metres South of West Pender St,Burgers and Fries
DT22,49.28214816,-123.1209223,open,YVS Nuts,North Side of 800 Robson St - 6 Metres West of Howe St,Chestnuts
DT65,49.28441126,-123.1247314,open,YVS Nuts,South Side of 1000 Robson Street - East of Thurlow Street,Chestnuts
DT67,49.27983399,-123.1102364,open,Yolks,North Side of Dunsmuir St - 10 Metres East of Beatty St,Breakfast Fare
